family,father,mother,gender,height,kids,male,female
1,199.39,170.18,M,185.928,4,1,0
1,199.39,170.18,F,175.768,4,0,1
1,199.39,170.18,F,175.26,4,0,1
1,199.39,170.18,F,175.26,4,0,1
2,191.77,168.91,M,186.69,4,1,0
2,191.77,168.91,M,184.15,4,1,0
2,191.77,168.91,F,166.37,4,0,1
2,191.77,168.91,F,166.37,4,0,1
3,190.5,162.56,M,180.34,2,1,0
3,190.5,162.56,F,172.72,2,0,1
4,190.5,162.56,M,179.07,5,1,0
4,190.5,162.56,M,173.99,5,1,0
4,190.5,162.56,F,170.18,5,0,1
4,190.5,162.56,F,163.83,5,0,1
4,190.5,162.56,F,160.02,5,0,1
5,190.5,148.59,M,182.88,6,1,0
5,190.5,148.59,M,175.26,6,1,0
5,190.5,148.59,M,172.72,6,1,0
5,190.5,148.59,F,168.91,6,0,1
5,190.5,148.59,F,158.75,6,0,1
5,190.5,148.59,F,158.75,6,0,1
6,187.96,172.72,F,176.53,1,0,1
7,187.96,172.72,M,194.31,6,1,0
7,187.96,172.72,M,187.96,6,1,0
7,187.96,172.72,M,185.42,6,1,0
7,187.96,172.72,M,185.42,6,1,0
7,187.96,172.72,F,179.07,6,0,1
7,187.96,172.72,F,162.56,6,0,1
8,187.96,168.91,F,179.07,3,0,1
8,187.96,168.91,F,172.72,3,0,1
8,187.96,168.91,F,167.64,3,0,1
9,189.23,167.64,F,167.64,1,0,1
10,187.96,166.37,F,166.37,1,0,1
11,187.96,157.48,M,187.96,8,1,0
11,187.96,157.48,M,177.8,8,1,0
11,187.96,157.48,F,172.72,8,0,1
11,187.96,157.48,F,170.18,8,0,1
11,187.96,157.48,F,170.18,8,0,1
11,187.96,157.48,F,167.64,8,0,1
11,187.96,157.48,F,161.29,8,0,1
11,187.96,157.48,F,160.02,8,0,1
12,187.96,154.94,F,165.1,1,0,1
14,185.42,170.18,M,172.72,2,1,0
14,185.42,170.18,M,170.18,2,1,0
15,185.42,168.91,M,180.34,3,1,0
15,185.42,168.91,M,179.07,3,1,0
15,185.42,168.91,F,169.418,3,0,1
16,185.42,165.1,M,182.88,9,1,0
16,185.42,165.1,M,179.07,9,1,0
16,185.42,165.1,M,178.308,9,1,0
16,185.42,165.1,M,178.308,9,1,0
16,185.42,165.1,M,175.768,9,1,0
16,185.42,165.1,F,174.498,9,0,1
16,185.42,165.1,F,168.91,9,0,1
16,185.42,165.1,F,163.83,9,0,1
16,185.42,165.1,F,161.29,9,0,1
17,185.42,163.83,M,187.96,6,1,0
17,185.42,163.83,M,185.42,6,1,0
17,185.42,163.83,M,181.61,6,1,0
17,185.42,163.83,M,158.75,6,1,0
17,185.42,163.83,F,168.91,6,0,1
17,185.42,163.83,F,158.242,6,0,1
18,185.42,162.56,F,167.64,3,0,1
18,185.42,162.56,F,163.83,3,0,1
18,185.42,162.56,F,162.56,3,0,1
19,185.928,160.02,F,159.258,1,0,1
20,184.658,175.26,M,185.928,8,1,0
20,184.658,175.26,M,185.42,8,1,0
20,184.658,175.26,M,184.658,8,1,0
20,184.658,175.26,F,177.8,8,0,1
20,184.658,175.26,F,175.26,8,0,1
20,184.658,175.26,F,173.99,8,0,1
20,184.658,175.26,F,172.72,8,0,1
20,184.658,175.26,F,167.64,8,0,1
21,182.88,172.72,M,185.42,3,1,0
21,182.88,172.72,F,173.99,3,0,1
21,182.88,172.72,F,172.72,3,0,1
22,182.88,170.18,M,185.42,3,1,0
22,182.88,170.18,M,180.34,3,1,0
22,182.88,170.18,F,170.18,3,0,1
23,182.88,165.1,M,188.468,7,1,0
23,182.88,165.1,M,179.07,7,1,0
23,182.88,165.1,M,176.53,7,1,0
23,182.88,165.1,F,167.64,7,0,1
23,182.88,165.1,F,166.37,7,0,1
23,182.88,165.1,F,165.1,7,0,1
23,182.88,165.1,F,165.1,7,0,1
24,182.88,166.37,F,166.37,1,0,1
25,182.88,162.56,F,167.64,2,0,1
25,182.88,162.56,F,160.02,2,0,1
26,182.88,160.02,M,179.07,5,1,0
26,182.88,160.02,M,179.07,5,1,0
26,182.88,160.02,M,175.26,5,1,0
26,182.88,160.02,F,165.1,5,0,1
26,182.88,160.02,F,160.02,5,0,1
27,182.88,160.02,M,175.26,3,1,0
27,182.88,160.02,M,170.18,3,1,0
27,182.88,160.02,F,160.02,3,0,1
28,182.88,160.02,M,185.42,6,1,0
28,182.88,160.02,M,170.18,6,1,0
28,182.88,160.02,F,179.07,6,0,1
28,182.88,160.02,F,177.8,6,0,1
28,182.88,160.02,F,168.91,6,0,1
28,182.88,160.02,F,160.02,6,0,1
29,184.15,161.29,F,171.45,3,0,1
29,184.15,161.29,F,170.688,3,0,1
29,184.15,161.29,F,169.418,3,0,1
30,182.88,157.48,F,162.56,1,0,1
31,184.15,157.48,M,180.34,6,1,0
31,184.15,157.48,M,177.8,6,1,0
31,184.15,157.48,M,177.8,6,1,0
31,184.15,157.48,F,167.64,6,0,1
31,184.15,157.48,F,165.1,6,0,1
31,184.15,157.48,F,165.1,6,0,1
32,182.88,157.48,M,187.96,5,1,0
32,182.88,157.48,M,182.88,5,1,0
32,182.88,157.48,M,175.26,5,1,0
32,182.88,157.48,F,171.45,5,0,1
32,182.88,157.48,F,161.29,5,0,1
33,182.88,157.48,M,182.88,5,1,0
33,182.88,157.48,M,181.61,5,1,0
33,182.88,157.48,M,181.61,5,1,0
33,182.88,157.48,M,177.8,5,1,0
33,182.88,157.48,F,172.72,5,0,1
34,182.88,154.94,F,166.878,1,0,1
35,180.34,175.26,M,198.12,5,1,0
35,180.34,175.26,M,187.96,5,1,0
35,180.34,175.26,M,185.42,5,1,0
35,180.34,175.26,M,182.88,5,1,0
35,180.34,175.26,F,170.18,5,0,1
36,180.34,170.18,M,185.928,4,1,0
36,180.34,170.18,M,185.42,4,1,0
36,180.34,170.18,M,175.26,4,1,0
36,180.34,170.18,F,170.18,4,0,1
37,180.34,167.64,M,177.8,4,1,0
37,180.34,167.64,F,170.18,4,0,1
37,180.34,167.64,F,170.18,4,0,1
37,180.34,167.64,F,168.91,4,0,1
38,180.34,167.64,M,177.8,6,1,0
38,180.34,167.64,M,175.26,6,1,0
38,180.34,167.64,M,173.99,6,1,0
38,180.34,167.64,F,167.64,6,0,1
38,180.34,167.64,F,163.83,6,0,1
38,180.34,167.64,F,160.02,6,0,1
39,180.34,167.64,M,180.34,2,1,0
39,180.34,167.64,F,170.18,2,0,1
40,180.34,167.64,M,193.04,5,1,0
40,180.34,167.64,M,182.88,5,1,0
40,180.34,167.64,M,180.34,5,1,0
40,180.34,167.64,M,167.64,5,1,0
40,180.34,167.64,F,167.64,5,0,1
41,182.118,166.37,M,179.07,1,1,0
42,180.34,166.37,M,182.88,6,1,0
42,180.34,166.37,M,182.88,6,1,0
42,180.34,166.37,M,180.34,6,1,0
42,180.34,166.37,M,175.26,6,1,0
42,180.34,166.37,F,167.64,6,0,1
42,180.34,166.37,F,165.1,6,0,1
43,181.61,166.37,M,185.42,2,1,0
43,181.61,166.37,F,165.608,2,0,1
44,181.61,165.1,M,173.99,2,1,0
44,181.61,165.1,M,171.958,2,1,0
45,180.34,165.1,M,172.72,3,1,0
45,180.34,165.1,M,172.72,3,1,0
45,180.34,165.1,F,157.48,3,0,1
46,180.34,162.56,F,172.72,8,0,1
46,180.34,162.56,F,172.72,8,0,1
46,180.34,162.56,F,171.45,8,0,1
46,180.34,162.56,F,168.91,8,0,1
46,180.34,162.56,F,168.91,8,0,1
46,180.34,162.56,F,167.64,8,0,1
46,180.34,162.56,F,166.37,8,0,1
46,180.34,162.56,F,165.1,8,0,1
47,182.118,163.83,M,182.88,4,1,0
47,182.118,163.83,M,180.34,4,1,0
47,182.118,163.83,M,179.07,4,1,0
47,182.118,163.83,F,170.18,4,0,1
48,180.34,162.56,M,172.72,3,1,0
48,180.34,162.56,M,172.72,3,1,0
48,180.34,162.56,M,172.72,3,1,0
49,181.61,163.83,M,182.88,7,1,0
49,181.61,163.83,M,180.34,7,1,0
49,181.61,163.83,M,177.8,7,1,0
49,181.61,163.83,F,167.64,7,0,1
49,181.61,163.83,F,163.83,7,0,1
49,181.61,163.83,F,163.83,7,0,1
49,181.61,163.83,F,157.48,7,0,1
51,180.848,160.02,F,171.45,2,0,1
51,180.848,160.02,F,163.83,2,0,1
52,180.34,161.29,M,180.34,5,1,0
52,180.34,161.29,M,170.18,5,1,0
52,180.34,161.29,F,167.64,5,0,1
52,180.34,161.29,F,165.1,5,0,1
52,180.34,161.29,F,161.29,5,0,1
53,180.34,160.02,M,180.34,9,1,0
53,180.34,160.02,M,177.8,9,1,0
53,180.34,160.02,M,177.8,9,1,0
53,180.34,160.02,M,162.56,9,1,0
53,180.34,160.02,F,165.1,9,0,1
53,180.34,160.02,F,165.1,9,0,1
53,180.34,160.02,F,162.56,9,0,1
53,180.34,160.02,F,160.02,9,0,1
53,180.34,160.02,F,160.02,9,0,1
54,180.34,160.02,M,180.34,4,1,0
54,180.34,160.02,M,180.34,4,1,0
54,180.34,160.02,M,177.8,4,1,0
54,180.34,160.02,F,161.29,4,0,1
55,180.34,157.48,M,180.34,5,1,0
55,180.34,157.48,M,177.8,5,1,0
55,180.34,157.48,F,163.83,5,0,1
55,180.34,157.48,F,158.75,5,0,1
55,180.34,157.48,F,156.21,5,0,1
56,180.34,157.48,M,182.88,5,1,0
56,180.34,157.48,M,179.07,5,1,0
56,180.34,157.48,M,179.07,5,1,0
56,180.34,157.48,F,163.83,5,0,1
56,180.34,157.48,F,152.4,5,0,1
57,180.34,158.75,M,177.8,5,1,0
57,180.34,158.75,F,162.56,5,0,1
57,180.34,158.75,F,162.56,5,0,1
57,180.34,158.75,F,162.56,5,0,1
57,180.34,158.75,F,158.75,5,0,1
58,180.34,157.48,M,179.07,7,1,0
58,180.34,157.48,M,177.8,7,1,0
58,180.34,157.48,M,175.26,7,1,0
58,180.34,157.48,M,175.26,7,1,0
58,180.34,157.48,M,167.64,7,1,0
58,180.34,157.48,F,163.83,7,0,1
58,180.34,157.48,F,162.56,7,0,1
59,180.34,154.94,F,157.48,1,0,1
60,180.34,147.32,M,181.61,2,1,0
60,180.34,147.32,M,175.26,2,1,0
61,177.8,175.26,M,180.34,4,1,0
61,177.8,175.26,M,177.8,4,1,0
61,177.8,175.26,M,175.26,4,1,0
61,177.8,175.26,F,175.26,4,0,1
62,177.8,175.26,M,177.8,6,1,0
62,177.8,175.26,M,174.498,6,1,0
62,177.8,175.26,F,172.72,6,0,1
62,177.8,175.26,F,167.64,6,0,1
62,177.8,175.26,F,162.56,6,0,1
62,177.8,175.26,F,157.48,6,0,1
63,177.8,172.72,M,190.5,1,1,0
64,177.8,170.18,M,177.8,5,1,0
64,177.8,170.18,M,175.26,5,1,0
64,177.8,170.18,F,167.64,5,0,1
64,177.8,170.18,F,162.56,5,0,1
64,177.8,170.18,F,152.4,5,0,1
65,177.8,170.18,F,171.45,1,0,1
66,177.8,168.91,M,185.42,11,1,0
66,177.8,168.91,M,182.88,11,1,0
66,177.8,168.91,M,182.88,11,1,0
66,177.8,168.91,M,168.91,11,1,0
66,177.8,168.91,F,175.768,11,0,1
66,177.8,168.91,F,170.688,11,0,1
66,177.8,168.91,F,168.91,11,0,1
66,177.8,168.91,F,167.64,11,0,1
66,177.8,168.91,F,167.64,11,0,1
66,177.8,168.91,F,163.068,11,0,1
66,177.8,168.91,F,161.798,11,0,1
67,179.07,165.1,M,182.88,4,1,0
67,179.07,165.1,M,178.308,4,1,0
67,179.07,165.1,M,175.26,4,1,0
67,179.07,165.1,M,173.99,4,1,0
68,179.07,165.1,F,172.72,5,0,1
68,179.07,165.1,F,165.1,5,0,1
68,179.07,165.1,F,156.21,5,0,1
68,179.07,165.1,F,154.94,5,0,1
68,179.07,165.1,F,154.94,5,0,1
69,177.8,165.1,M,185.42,8,1,0
69,177.8,165.1,M,182.88,8,1,0
69,177.8,165.1,M,179.07,8,1,0
69,177.8,165.1,M,165.1,8,1,0
69,177.8,165.1,M,165.1,8,1,0
69,177.8,165.1,F,163.83,8,0,1
69,177.8,165.1,F,160.02,8,0,1
69,177.8,165.1,F,157.48,8,0,1
70,177.8,165.1,M,170.18,5,1,0
70,177.8,165.1,M,165.1,5,1,0
70,177.8,165.1,F,163.83,5,0,1
70,177.8,165.1,F,158.75,5,0,1
70,177.8,165.1,F,158.75,5,0,1
71,177.8,165.1,M,177.8,6,1,0
71,177.8,165.1,M,177.8,6,1,0
71,177.8,165.1,F,170.18,6,0,1
71,177.8,165.1,F,165.1,6,0,1
71,177.8,165.1,F,165.1,6,0,1
71,177.8,165.1,F,160.02,6,0,1
72,177.8,165.1,M,200.66,7,1,0
72,177.8,165.1,M,190.5,7,1,0
72,177.8,165.1,M,180.34,7,1,0
72,177.8,165.1,F,175.26,7,0,1
72,177.8,165.1,F,170.18,7,0,1
72,177.8,165.1,F,166.878,7,0,1
72,177.8,165.1,F,157.48,7,0,1
73,177.8,165.1,M,185.42,3,1,0
73,177.8,165.1,M,184.15,3,1,0
73,177.8,165.1,F,165.1,3,0,1
74,177.8,165.1,M,175.26,2,1,0
74,177.8,165.1,M,175.26,2,1,0
75,177.8,164.338,M,182.88,7,1,0
75,177.8,164.338,M,177.8,7,1,0
75,177.8,164.338,M,174.498,7,1,0
75,177.8,164.338,F,168.91,7,0,1
75,177.8,164.338,F,166.37,7,0,1
75,177.8,164.338,F,164.338,7,0,1
75,177.8,164.338,F,163.83,7,0,1
76,177.8,162.56,M,179.578,7,1,0
76,177.8,162.56,M,177.8,7,1,0
76,177.8,162.56,M,172.72,7,1,0
76,177.8,162.56,M,170.18,7,1,0
76,177.8,162.56,M,167.64,7,1,0
76,177.8,162.56,M,165.1,7,1,0
76,177.8,162.56,F,170.18,7,0,1
77,177.8,162.56,M,177.8,4,1,0
77,177.8,162.56,M,172.72,4,1,0
77,177.8,162.56,M,169.418,4,1,0
77,177.8,162.56,F,166.37,4,0,1
78,177.8,163.068,M,182.88,5,1,0
78,177.8,163.068,M,177.8,5,1,0
78,177.8,163.068,F,158.75,5,0,1
78,177.8,163.068,F,155.448,5,0,1
78,177.8,163.068,F,152.654,5,0,1
79,179.07,162.56,M,187.96,8,1,0
79,179.07,162.56,M,176.53,8,1,0
79,179.07,162.56,M,175.26,8,1,0
79,179.07,162.56,M,172.72,8,1,0
79,179.07,162.56,M,172.72,8,1,0
79,179.07,162.56,M,172.72,8,1,0
79,179.07,162.56,F,166.37,8,0,1
79,179.07,162.56,F,165.1,8,0,1
80,179.07,163.83,F,152.4,1,0,1
81,177.8,162.56,M,172.72,4,1,0
81,177.8,162.56,F,165.1,4,0,1
81,177.8,162.56,F,162.56,4,0,1
81,177.8,162.56,F,157.48,4,0,1
82,177.8,162.56,M,180.34,9,1,0
82,177.8,162.56,M,177.8,9,1,0
82,177.8,162.56,M,177.8,9,1,0
82,177.8,162.56,M,177.8,9,1,0
82,177.8,162.56,M,176.53,9,1,0
82,177.8,162.56,M,173.99,9,1,0
82,177.8,162.56,F,175.26,9,0,1
82,177.8,162.56,F,165.1,9,0,1
82,177.8,162.56,F,162.56,9,0,1
83,177.8,161.798,M,177.8,8,1,0
83,177.8,161.798,M,170.18,8,1,0
83,177.8,161.798,M,166.37,8,1,0
83,177.8,161.798,F,161.798,8,0,1
83,177.8,161.798,F,160.528,8,0,1
83,177.8,161.798,F,158.75,8,0,1
83,177.8,161.798,F,157.988,8,0,1
83,177.8,161.798,F,154.94,8,0,1
85,179.07,160.02,M,184.15,5,1,0
85,179.07,160.02,M,175.26,5,1,0
85,179.07,160.02,M,170.18,5,1,0
85,179.07,160.02,F,163.83,5,0,1
85,179.07,160.02,F,162.56,5,0,1
86,177.8,161.29,M,180.34,4,1,0
86,177.8,161.29,M,171.45,4,1,0
86,177.8,161.29,F,171.45,4,0,1
86,177.8,161.29,F,161.29,4,0,1
87,177.8,160.02,M,172.72,4,1,0
87,177.8,160.02,M,170.18,4,1,0
87,177.8,160.02,F,161.798,4,0,1
87,177.8,160.02,F,157.48,4,0,1
88,177.8,160.02,M,177.8,4,1,0
88,177.8,160.02,M,168.91,4,1,0
88,177.8,160.02,F,157.48,4,0,1
88,177.8,160.02,F,154.94,4,0,1
89,179.07,157.48,M,182.88,8,1,0
89,179.07,157.48,M,177.8,8,1,0
89,179.07,157.48,M,176.53,8,1,0
89,179.07,157.48,M,176.53,8,1,0
89,179.07,157.48,M,172.72,8,1,0
89,179.07,157.48,F,165.1,8,0,1
89,179.07,157.48,F,162.56,8,0,1
89,179.07,157.48,F,160.02,8,0,1
90,178.562,159.258,M,179.578,7,1,0
90,178.562,159.258,M,177.038,7,1,0
90,178.562,159.258,M,175.768,7,1,0
90,178.562,159.258,M,165.608,7,1,0
90,178.562,159.258,F,162.56,7,0,1
90,178.562,159.258,F,161.29,7,0,1
90,178.562,159.258,F,160.528,7,0,1
91,179.07,157.48,M,182.88,3,1,0
91,179.07,157.48,M,182.88,3,1,0
91,179.07,157.48,F,152.4,3,0,1
92,177.8,154.94,M,180.848,2,1,0
92,177.8,154.94,M,170.18,2,1,0
93,177.8,152.4,M,170.18,4,1,0
93,177.8,152.4,M,163.83,4,1,0
93,177.8,152.4,F,165.1,4,0,1
93,177.8,152.4,F,160.02,4,0,1
94,177.8,152.4,F,165.1,2,0,1
94,177.8,152.4,F,165.1,2,0,1
95,177.8,148.59,M,181.61,3,1,0
95,177.8,148.59,M,163.83,3,1,0
95,177.8,148.59,F,160.02,3,0,1
96,177.8,147.32,M,182.88,5,1,0
96,177.8,147.32,M,167.64,5,1,0
96,177.8,147.32,F,167.64,5,0,1
96,177.8,147.32,F,165.1,5,0,1
96,177.8,147.32,F,160.02,5,0,1
97,175.26,173.99,M,190.5,10,1,0
97,175.26,173.99,M,180.34,10,1,0
97,175.26,173.99,M,177.8,10,1,0
97,175.26,173.99,F,167.64,10,0,1
97,175.26,173.99,F,167.64,10,0,1
97,175.26,173.99,F,166.37,10,0,1
97,175.26,173.99,F,165.1,10,0,1
97,175.26,173.99,F,165.1,10,0,1
97,175.26,173.99,F,162.56,10,0,1
97,175.26,173.99,F,162.56,10,0,1
98,175.26,170.18,F,162.56,1,0,1
99,175.26,167.64,M,185.42,8,1,0
99,175.26,167.64,M,182.88,8,1,0
99,175.26,167.64,M,182.118,8,1,0
99,175.26,167.64,M,181.61,8,1,0
99,175.26,167.64,F,166.37,8,0,1
99,175.26,167.64,F,165.1,8,0,1
99,175.26,167.64,F,159.258,8,0,1
99,175.26,167.64,F,158.75,8,0,1
100,175.26,167.64,M,180.848,3,1,0
100,175.26,167.64,M,180.34,3,1,0
100,175.26,167.64,M,177.8,3,1,0
101,175.26,169.418,M,190.5,6,1,0
101,175.26,169.418,M,187.96,6,1,0
101,175.26,169.418,M,182.88,6,1,0
101,175.26,169.418,M,173.99,6,1,0
101,175.26,169.418,M,170.18,6,1,0
101,175.26,169.418,M,167.64,6,1,0
102,175.26,167.64,M,177.8,6,1,0
102,175.26,167.64,M,173.99,6,1,0
102,175.26,167.64,M,172.72,6,1,0
102,175.26,167.64,F,165.1,6,0,1
102,175.26,167.64,F,160.02,6,0,1
102,175.26,167.64,F,158.75,6,0,1
103,175.26,168.91,M,185.42,5,1,0
103,175.26,168.91,M,180.34,5,1,0
103,175.26,168.91,M,179.07,5,1,0
103,175.26,168.91,M,179.07,5,1,0
103,175.26,168.91,F,154.94,5,0,1
104,176.53,168.91,M,179.07,4,1,0
104,176.53,168.91,M,171.45,4,1,0
104,176.53,168.91,F,163.83,4,0,1
104,176.53,168.91,F,162.56,4,0,1
105,175.26,168.91,M,180.34,6,1,0
105,175.26,168.91,F,173.99,6,0,1
105,175.26,168.91,F,171.45,6,0,1
105,175.26,168.91,F,167.64,6,0,1
105,175.26,168.91,F,160.02,6,0,1
105,175.26,168.91,F,160.02,6,0,1
106,176.53,167.64,M,180.34,7,1,0
106,176.53,167.64,M,180.34,7,1,0
106,176.53,167.64,M,179.07,7,1,0
